supportingSection,supportedSection,supportingMaterial,supportedMaterial
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 150/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 180 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
4 - S275 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,SHS 100x3,HE 240 A
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 240 A,2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El
HE 180 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,SHS 100x3,2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 240 A,2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El
HE 180 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,IPE 160,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 180 A
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 240 A
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 240 A
HE 140 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 180 A
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 240 A
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 140 A,HE 240 A
HE 140 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El,HE 140 A,SHS 100x3
HE 140 A,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 160 A,HE 180 A
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 160 A,HE 160 A
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 160 A,IPE 160
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 160 A,HE 160 A
HE 140 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 240 A,IPE 160
3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 240 A,IPE 160
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 160,HE 240 A,2 - S235 | Isotropic | Linear El,3 - S355 | Isotropic | Linear El
3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 240 A,IPE 160
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,L 70x70x7,3 - S355 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 160,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 160,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 160,IPE 240,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,IPE 160
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 240,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,IPE 240,HE 240 A
IPE 160,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 160,L 70x70x7,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
IPE 160,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 180 A
HE 200 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 180 A
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 240 A
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/10/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 180 A
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 160 A
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El,HE 200 A,HE 160 A
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 240 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,FLAT 80/8/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 200 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 160 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 160 A,HE 200 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El,IPE 200,SHS 100x3
2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El,IPE 240,SHS 100x3
2 - S235 | Isotropic | Linear El,4 - S275 | Isotropic | Linear El,IPE 200,SHS 100x3
FLAT 180/15/H,FLAT 180/15/H,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
HE 180 A,HE 140 A,2 - S235 | Isotropic | Linear El,2 - S235 | Isotropic | Linear El
